,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
28,660856,0.8300000000000001,False,Watergraafsmeer,52.3551,4.93262,Entire home/apt,4,2,6,15,275.0,7,33,True,1,0,4.82,False,68.75,1925.0,0.08,0.29,0.2,4.99,0.005479452054794521,1396.2328767123288
29,664697,0.0,False,Oud-Noord,52.38537,4.90241,Entire home/apt,2,1,1,8,87.0,30,180,True,4,0,4.33,False,43.5,2610.0,0.05,0.1,0.15,4.99,0.8273972602739726,435.0
30,667305,0.92,False,Noord-West,52.41878,4.89397,Entire home/apt,2,1,1,5,146.0,5,120,True,19,3,5.0,False,73.0,730.0,0.06,0.14,0.16,4.99,0.9342465753424658,728.4931506849315
31,689623,0.7300000000000001,False,Centrum-Oost,52.3737,4.92581,Entire home/apt,2,1,1,1,120.0,14,60,True,2,0,4.73,False,60.0,1680.0,0.08,0.19,0.19,4.99,0.10684931506849316,600.0
32,719623,0.08000000000000007,False,Centrum-West,52.38284,4.89007,Entire home/apt,2,1,1,6,156.0,4,150,True,0,0,4.61,False,78.0,624.0,0.09,0.23,0.22,4.99,0.4246575342465753,780.0
33,754020,0.57,False,De Pijp - Rivierenbuurt,52.34829,4.91047,Entire home/apt,4,2,2,7,199.0,5,90,True,0,2,4.86,False,49.75,995.0,0.09,0.21,0.2,4.99,0.1643835616438356,828.2876712328767
34,758475,0.0,False,De Baarsjes - Oud-West,52.36827,4.87107,Entire home/apt,4,2,1,10,100.0,6,60,True,0,0,4.74,False,25.0,600.0,0.07,0.12,0.22,4.99,0.0,499.86301369863014
35,759402,0.0,False,Centrum-West,52.36652,4.87854,Entire home/apt,2,1,2,7,180.0,6,30,True,0,0,4.9,False,90.0,1080.0,0.06,0.15,0.17,4.99,0.0,900.0
36,800723,0.0,False,De Baarsjes - Oud-West,52.36884,4.86127,Entire home/apt,4,2,2,5,150.0,4,14,True,0,0,4.83,False,37.5,600.0,0.07,0.17,0.17,4.99,0.005479452054794521,750.0
37,805330,0.0,False,De Pijp - Rivierenbuurt,52.34725,4.89341,Entire home/apt,6,3,2,13,249.0,4,21,True,0,1,4.93,False,41.5,996.0,0.12,0.16,0.17,4.99,0.030136986301369864,1275.13698630137
38,816940,0.5900000000000001,False,Zuid,52.35323,4.85421,Entire home/apt,2,1,1,11,200.0,5,7,True,0,0,4.73,False,100.0,1000.0,0.1,0.23,0.18,4.99,0.021917808219178082,1000.0
39,818881,0.62,False,Centrum-Oost,52.36123,4.89619,Entire home/apt,2,1,1,8,122.0,7,60,True,2,0,4.69,False,61.0,854.0,0.06,0.15,0.18,4.99,0.46301369863013697,698.2739726027397
40,835627,0.42000000000000004,False,Centrum-Oost,52.36899,4.91607,Entire home/apt,4,2,3,14,180.0,4,13,True,0,0,5.0,False,45.0,720.0,0.07,0.2,0.18,4.99,0.0,900.0
41,847093,0.46,False,De Baarsjes - Oud-West,52.3607,4.85991,Entire home/apt,4,2,5,8,150.0,4,1125,True,0,0,4.73,False,37.5,600.0,0.07,0.18,0.18,4.99,0.0136986301369863,803.082191780822
42,854328,1.0,True,De Baarsjes - Oud-West,52.37262,4.87342,Entire home/apt,4,2,3,11,250.0,7,180,True,4,3,4.82,False,62.5,1750.0,0.07,0.19,0.29,4.99,0.1232876712328767,1496.1780821917807
43,862411,0.0,False,Centrum-West,52.38139,4.88541,Entire home/apt,2,1,1,5,180.0,93,365,True,29,0,4.9,False,90.0,16740.0,0.08,0.17,0.18,4.99,0.9972602739726028,900.0
44,874688,0.24,False,Oud-Oost,52.35894,4.91171,Entire home/apt,6,3,8,15,359.0,4,360,True,0,0,4.78,False,59.83,1436.0,0.06,0.17,0.23,4.99,0.7013698630136986,1768.150684931507
